category,target,k,features,R2,Q2,RMSE,CV,equation
Modeling,dG,3,ar2_q_a|ar2_nbo_q_a|ar2_Ar_v_CeqO,0.32571669717170215,-0.7520516085798967,0.14567208956642094,LOOCV,dG = -14.60 + 5.72*ar2_q_a - 6.15*ar2_nbo_q_a + 0.01*ar2_Ar_v_CeqO
Modeling,dG,3,ar2_q_a|ar2_nbo_q_a|ar2_ir_c_o_freq_cm1,0.32571669717170215,-0.7520516085798967,0.14567208956642094,LOOCV,dG = -14.60 + 5.72*ar2_q_a - 6.15*ar2_nbo_q_a + 0.01*ar2_ir_c_o_freq_cm1
Modeling,dG,3,ar2_q_a|ar2_Ar_NBO_OH|ar2_Ar_v_CeqO,0.32571669717170215,-0.7520516085798967,0.14567208956642094,LOOCV,dG = -14.60 + 5.72*ar2_q_a - 6.15*ar2_Ar_NBO_OH + 0.01*ar2_Ar_v_CeqO
Modeling,dG,3,ar2_q_a|ar2_Ar_NBO_OH|ar2_ir_c_o_freq_cm1,0.32571669717170215,-0.7520516085798967,0.14567208956642094,LOOCV,dG = -14.60 + 5.72*ar2_q_a - 6.15*ar2_Ar_NBO_OH + 0.01*ar2_ir_c_o_freq_cm1
Modeling,dG,4,ar2_Ar_LUMO|ar2_nbo_q_mean|ar2_nbo_q_b|ar2_nbo_q_c,0.555015640333291,-0.7705015188908364,0.11833889795144165,LOOCV,dG = 56.09 + 0.13*ar2_Ar_LUMO - 26.86*ar2_nbo_q_mean - 5.60*ar2_nbo_q_b - 71.04*ar2_nbo_q_c
Modeling,dG,4,ar2_Ar_LUMO|ar2_nbo_q_mean|ar2_nbo_q_b|ar2_Ar_NBO_C1,0.555015640333291,-0.7705015188908364,0.11833889795144165,LOOCV,dG = 56.09 + 0.13*ar2_Ar_LUMO - 26.86*ar2_nbo_q_mean - 5.60*ar2_nbo_q_b - 71.04*ar2_Ar_NBO_C1
Modeling,dG,4,ar1_q_mean|ar2_q_a|ar2_nbo_q_std|ar2_bond_length_c_a,0.602552106629916,-0.7718127510187014,0.11183950774985638,LOOCV,dG = 17.95 + 3.60*ar1_q_mean + 4.61*ar2_q_a + 19.92*ar2_nbo_q_std - 18.54*ar2_bond_length_c_a
Modeling,dG,4,ar2_Ar_LUMO|ar2_q_a|ar2_nbo_q_std|ar2_q_d,0.5693501991406191,-0.7782039760698005,0.11641723294392084,LOOCV,dG = 27.39 + 0.15*ar2_Ar_LUMO - 1.28*ar2_q_a - 30.46*ar2_nbo_q_std + 16.30*ar2_q_d
Modeling,dG,5,ar1_q_mean|ar2_Ar_LUMO|ar2_nbo_q_a|ar2_nbo_q_std|ar2_nbo_q_b,0.7527585507581281,-0.7814826988655925,0.08820958675774351,LOOCV,dG = -60.03 + 3.17*ar1_q_mean + 0.22*ar2_Ar_LUMO + 257.66*ar2_nbo_q_a + 417.88*ar2_nbo_q_std + 51.00*ar2_nbo_q_b
Modeling,dG,5,ar1_q_mean|ar2_Ar_LUMO|ar2_Ar_NBO_OH|ar2_nbo_q_std|ar2_nbo_q_b,0.7527585507581281,-0.7814826988655925,0.08820958675774351,LOOCV,dG = -60.03 + 3.17*ar1_q_mean + 0.22*ar2_Ar_LUMO + 257.66*ar2_Ar_NBO_OH + 417.88*ar2_nbo_q_std + 51.00*ar2_nbo_q_b
Modeling,dG,4,ar2_nbo_q_b|ar2_nbo_q_c|ar2_Ar_v_CeqO|ar2_q_b,0.5367671950571742,-0.7850513562909043,0.1207410090274622,LOOCV,dG = 146.72 - 13.76*ar2_nbo_q_b - 124.95*ar2_nbo_q_c - 0.02*ar2_Ar_v_CeqO + 23.29*ar2_q_b
