feature,pearson_corr,abs_pearson_corr,n_valid
homo_hartree,0.7450526472860243,0.7450526472860243,21
q_d,-0.5107214354918113,0.5107214354918113,21
q_mean,-0.3937031030591477,0.3937031030591477,21
q_a,-0.342904765858415,0.342904765858415,21
lumo_hartree,0.3052433329778506,0.3052433329778506,21
q_g,-0.3008160126797615,0.3008160126797615,21
gap_hartree,0.2922619888900832,0.2922619888900832,21
q_f,0.2120502562853642,0.2120502562853642,21
q_c,-0.18936283288261224,0.18936283288261224,21
scf_energy_hartree,-0.12463560988989715,0.12463560988989715,21
gibbs_free_energy_hartree,-0.12458048861053342,0.12458048861053342,21
enthalpy_hartree,-0.12457417152573252,0.12457417152573252,21
q_b,-0.05371422161053307,0.05371422161053307,21
q_std,0.05069054559825473,0.05069054559825473,21
q_e,-0.035712759829801245,0.035712759829801245,21
