category,target,k,features,R2,Q2,RMSE,CV,equation
N-aryl-N′-alkylindigo,ln(kobs)_MeCN,4,Ar_NBO_=O|Entry|Occupancy_C1-O|dipole moment,0.6960665521997196,0.4274864164993202,0.29733945247518573,LOOCV,ln(kobs)_MeCN = -109.50 - 51.19*Ar_NBO_=O + 0.02*Entry + 38.78*Occupancy_C1-O - 0.11*dipole moment
N-aryl-N′-alkylindigo,ln(kobs)_MeCN,4,Ar_NBO_=O|Ar_NBO_-O|Occupancy_C1-O|Occupancy_C1-C2,0.7438914346343715,0.42741607201983234,0.27294512425622763,LOOCV,ln(kobs)_MeCN = 171.14 - 61.07*Ar_NBO_=O + 9.21*Ar_NBO_-O - 151.21*Occupancy_C1-O + 49.98*Occupancy_C1-C2
N-aryl-N′-alkylindigo,ln(kobs)_MeCN,5,Ar_NBO_=O|Ar_NBO_-O|Ar_NBO_C1_x|dipole moment|Occupancy_C1-C2,0.7932395092804925,0.42721319422876525,0.24524325187096535,LOOCV,ln(kobs)_MeCN = -94.74 - 72.92*Ar_NBO_=O + 43.58*Ar_NBO_-O + 21.58*Ar_NBO_C1_x - 0.06*dipole moment + 31.81*Occupancy_C1-C2
N-aryl-N′-alkylindigo,ln(kobs)_MeCN,5,HOMO|Ar_NBO_C1_x|Entry|Ar_I_C=O|L_C1-C2,0.780460422798343,0.4270069415340989,0.2527084132115437,LOOCV,ln(kobs)_MeCN = 7.41 + 12.11*HOMO + 50.79*Ar_NBO_C1_x + 0.02*Entry - 0.00*Ar_I_C=O - 30.73*L_C1-C2
N-aryl-N′-alkylindigo,ln(kobs)_MeCN,3,HOMO|LUMO|Occupancy_C1-O,0.623078216938389,0.426936498098867,0.3311226640158397,LOOCV,ln(kobs)_MeCN = 226.31 + 13.35*HOMO + 9.31*LUMO - 111.92*Occupancy_C1-O
N-aryl-N′-alkylindigo,ln(kobs)_MeCN,5,HOMO|Ar_v_C=O|Ar_I_C=O|L_C1-C2|Occupancy_C1-C2,0.7991468565141513,0.4268933005283947,0.2417144453897639,LOOCV,ln(kobs)_MeCN = 52.45 - 3.63*HOMO - 0.15*Ar_v_C=O + 0.00*Ar_I_C=O + 97.65*L_C1-C2 + 37.61*Occupancy_C1-C2
N-aryl-N′-alkylindigo,ln(kobs)_MeCN,4,HOMO|Ar_NBO_-O|dipole moment|Occupancy_C1-C2,0.6969130563517048,0.42679283225809983,0.29692509435976755,LOOCV,ln(kobs)_MeCN = -103.28 + 11.89*HOMO - 68.24*Ar_NBO_-O - 0.05*dipole moment + 29.29*Occupancy_C1-C2
N-aryl-N′-alkylindigo,ln(kobs)_MeCN,5,Ar_v_C=O|Ar_NBO_C1_x|Ar_I_C=O|L_C1-C2|Ar_NBO_C2_x,0.8448871283108395,0.42663196525931957,0.21241599107594816,LOOCV,ln(kobs)_MeCN = 65.33 - 0.12*Ar_v_C=O + 26.48*Ar_NBO_C1_x + 0.00*Ar_I_C=O + 86.51*L_C1-C2 - 4.35*Ar_NBO_C2_x
N-aryl-N′-alkylindigo,ln(kobs)_MeCN,4,Ar_v_C=O|Ar_NBO_-O|Ar_NBO_C1_x|L_C1-C2,0.7564005990873225,0.4265006342223142,0.26619592137083115,LOOCV,ln(kobs)_MeCN = 148.12 - 0.11*Ar_v_C=O + 30.37*Ar_NBO_-O + 36.97*Ar_NBO_C1_x + 27.39*L_C1-C2
N-aryl-N′-alkylindigo,ln(kobs)_MeCN,5,Ar_NBO_=O|Ar_NBO_C1_x|Occupancy_C1-O|dipole moment|Occupancy_C1-C2,0.7909634461328425,0.4264392603928434,0.24658940208901883,LOOCV,ln(kobs)_MeCN = 5.09 - 53.80*Ar_NBO_=O + 21.19*Ar_NBO_C1_x - 72.65*Occupancy_C1-O - 0.02*dipole moment + 45.09*Occupancy_C1-C2
