k,features,R2,Q2,RMSE,sampled
4,Ar2_LUMO|Ar1_v_C=O|Ar2_NBO_C2|Ar1_I_C=O,0.9670358911603072,0.9441292206857576,0.3378108109508611,0
4,Ar2_LUMO|Ar1_v_C=O|Ar2_NBO_-O|Ar1_I_C=O,0.9721242532002,0.9432734016005652,0.3106462604919359,0
5,Ar1_LUMO|Ar2_LUMO|Ar1_v_C=O|ar2_enthalpy_hartree|Ar1_I_C=O,0.9889066576560988,0.9429086091937523,0.19596751354884318,0
4,Ar2_LUMO|Ar1_v_C=O|Ar1_NBO_C2|Ar1_I_C=O,0.9679793202319033,0.9429002125320431,0.3329416658273603,0
4,Ar1_LUMO|Ar2_v_C=O|Ar2_I_C=O|sum_enthalpy_hartree,0.9838354043922317,0.9428225536156148,0.236556723701647,0
5,prod_homo_hartree|sum_homo_hartree|Ar1_v_C=O|Ar2_NBO_-O|Ar1_I_C=O,0.9798011492338239,0.9424711996355924,0.2644333364796243,0
5,Ar2_LUMO|sum_homo_hartree|Ar1_v_C=O|Ar1_NBO_C2|sum_enthalpy_hartree,0.9788900235019546,0.9418635240522438,0.2703315592370445,0
5,Ar2_LUMO|Ar1_v_C=O|Ar1_NBO_C2|Entry|ar2_enthalpy_hartree,0.9796718931821679,0.9418526279431332,0.26527806530350334,0
5,Ar2_LUMO|Ar1_v_C=O|Ar2_NBO_C2|Entry|Ar1_I_C=O,0.9745187370066359,0.9410763984474132,0.2970047189144966,0
4,prod_homo_hartree|sum_homo_hartree|Ar1_v_C=O|Ar1_I_C=O,0.9746728680535147,0.9407355291950779,0.2961050954661389,0
5,prod_homo_hartree|sum_homo_hartree|Ar1_v_C=O|Ar1_NBO_=O|Ar2_I_C=O,0.9784751637979873,0.9403431308672376,0.2729749543958477,0
5,Ar2_LUMO|Ar1_v_C=O|Ar2_NBO_C2|Entry|ar2_enthalpy_hartree,0.9773988397901243,0.9398240603286728,0.27971660045208785,0
5,Ar2_LUMO|prod_homo_hartree|Ar1_v_C=O|Ar1_NBO_C2|sum_enthalpy_hartree,0.9783963253278558,0.9396709441756582,0.2734744066925863,0
5,Ar2_LUMO|Ar1_v_C=O|Ar1_NBO_=O|Entry|Ar1_I_C=O,0.974640707024241,0.9395489563071823,0.2962930366714641,0
5,prod_homo_hartree|sum_homo_hartree|Ar1_v_C=O|Ar1_NBO_C2|Entry,0.9727028746274166,0.9394797205238714,0.30740528636962366,0
5,Ar1_v_C=O|Ar1_NBO_-O|Ar2_NBO_C2|Ar1_I_C=O|sum_enthalpy_hartree,0.9714575313336998,0.9394636229971536,0.31433927050122595,0
5,Ar2_LUMO|Ar1_v_C=O|Ar2_HOMO|Entry|Ar1_I_C=O,0.9771022091688175,0.9390149149164128,0.28154619759471833,0
4,Ar2_LUMO|Ar1_v_C=O|Ar1_NBO_-O|Ar1_I_C=O,0.9691201615227949,0.9389035612380568,0.326956807745126,0
5,Ar2_LUMO|Ar1_v_C=O|Entry|Ar2_I_C=O|ar2_enthalpy_hartree,0.9874113364431389,0.9384807155114534,0.2087577886963272,0
4,prod_homo_hartree|sum_homo_hartree|Ar1_v_C=O|Ar1_NBO_C2,0.9710257198268171,0.9380879186454125,0.31670812280174016,0
5,Ar2_LUMO|Ar1_v_C=O|Ar1_NBO_-O|Entry|Ar1_I_C=O,0.9747696756239025,0.9380570925033711,0.29553865432551973,0
4,Ar2_LUMO|Ar1_v_C=O|Ar1_NBO_C2|ar2_enthalpy_hartree,0.9759923870874747,0.9377103838742726,0.2882885305730311,0
5,prod_homo_hartree|Ar1_v_C=O|Ar2_v_C=O|Ar2_HOMO|Ar2_I_C=O,0.9854989843269016,0.9374449387713161,0.22405368206579246,0
5,Ar2_LUMO|prod_homo_hartree|sum_homo_hartree|Ar1_v_C=O|Ar1_I_C=O,0.9796702392733402,0.9370103376073335,0.2652888566874265,0
5,Ar2_LUMO|Ar1_v_C=O|Ar2_NBO_-O|Entry|Ar1_I_C=O,0.9758561634354788,0.9368297650941823,0.28910527493963045,0
