feature,importance_mean,importance_std
Ar1_v_C=O,0.6948778228557145,0.22578366664308647
Ar2_LUMO,0.4778393817223524,0.12478965594018976
Ar1_I_C=O,0.08090317668668941,0.03220061454967382
ar2_enthalpy_hartree,0.05070664639922641,0.01598917664978684
Entry,0.016900243392233734,0.0056800580171983564
