category,target,k,features,R2,Q2,RMSE,CV,equation
azoarene_svr_rbf_c3_eps02_scale,ln(kobs),4,ar2_Ar_HOMO|ar2_isotropic_polarizability_au|ar1_q_a|ar1_bond_length_c_e,0.6054972054710943,0.21446508620214244,2.7825684471508545,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c3_eps02_scale,ln(kobs),4,ar2_homo_hartree|ar2_Ar_polar|ar1_q_a|ar1_bond_length_c_e,0.6054972054710943,0.21446508620214244,2.7825684471508545,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c3_eps02_scale,ln(kobs),4,ar2_homo_hartree|ar2_isotropic_polarizability_au|ar1_q_a|ar1_bond_length_c_e,0.6054972054710943,0.21446508620214244,2.7825684471508545,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c3_eps02_scale,ln(kobs),3,ar2_Ar_polar|ar2_lumo_hartree|ar1_bond_length_c_e,0.5771413652317683,0.21170659174034956,2.8808352061504694,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c3_eps02_scale,ln(kobs),3,ar2_Ar_polar|ar2_Ar_LUMO|ar1_bond_length_c_e,0.5771413652317683,0.21170659174034956,2.8808352061504694,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c3_eps02_scale,ln(kobs),3,ar2_isotropic_polarizability_au|ar2_lumo_hartree|ar1_bond_length_c_e,0.5771413652317683,0.21170659174034956,2.8808352061504694,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c3_eps02_scale,ln(kobs),3,ar2_isotropic_polarizability_au|ar2_Ar_LUMO|ar1_bond_length_c_e,0.5771413652317683,0.21170659174034956,2.8808352061504694,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c3_eps02_scale,ln(kobs),4,rate kobs (s-1)|ar2_lumo_hartree|ar1_bond_length_c_e|ar2_Ar_Ster_B5,0.5928778353330242,0.21157713602705674,2.8267225773812665,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c3_eps02_scale,ln(kobs),4,rate kobs (s-1)|ar2_lumo_hartree|ar1_bond_length_c_e|ar2_sterimol_B5,0.5928778353330242,0.21157713602705674,2.8267225773812665,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c3_eps02_scale,ln(kobs),4,rate kobs (s-1)|ar2_Ar_LUMO|ar1_bond_length_c_e|ar2_Ar_Ster_B5,0.5928778353330242,0.21157713602705674,2.8267225773812665,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c3_eps02_scale,ln(kobs),4,rate kobs (s-1)|ar2_Ar_LUMO|ar1_bond_length_c_e|ar2_sterimol_B5,0.5928778353330242,0.21157713602705674,2.8267225773812665,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c3_eps02_scale,ln(kobs),4,ar2_Ar_HOMO|ar1_q_a|ar2_Ar_Ster_B5|ar1_nbo_q_a,0.6222087583454331,0.2114576726924161,2.7229944545899585,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c3_eps02_scale,ln(kobs),4,ar2_Ar_HOMO|ar1_q_a|ar2_Ar_Ster_B5|ar1_Ar_NBO_OH,0.6222087583454331,0.2114576726924161,2.7229944545899585,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c3_eps02_scale,ln(kobs),4,ar2_Ar_HOMO|ar1_q_a|ar2_sterimol_B5|ar1_nbo_q_a,0.6222087583454331,0.2114576726924161,2.7229944545899585,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c3_eps02_scale,ln(kobs),4,ar2_Ar_HOMO|ar1_q_a|ar2_sterimol_B5|ar1_Ar_NBO_OH,0.6222087583454331,0.2114576726924161,2.7229944545899585,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c3_eps02_scale,ln(kobs),4,ar2_homo_hartree|ar1_q_a|ar2_Ar_Ster_B5|ar1_nbo_q_a,0.6222087583454331,0.2114576726924161,2.7229944545899585,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c3_eps02_scale,ln(kobs),4,ar2_homo_hartree|ar1_q_a|ar2_Ar_Ster_B5|ar1_Ar_NBO_OH,0.6222087583454331,0.2114576726924161,2.7229944545899585,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c3_eps02_scale,ln(kobs),4,ar2_homo_hartree|ar1_q_a|ar2_sterimol_B5|ar1_nbo_q_a,0.6222087583454331,0.2114576726924161,2.7229944545899585,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c3_eps02_scale,ln(kobs),4,ar2_homo_hartree|ar1_q_a|ar2_sterimol_B5|ar1_Ar_NBO_OH,0.6222087583454331,0.2114576726924161,2.7229944545899585,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c3_eps02_scale,ln(kobs),4,ar2_Ar_polar|ar2_lumo_hartree|ar2_Ar_LUMO|ar1_nbo_q_a,0.566110027632136,0.21065867070646316,2.9181702176312436,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c3_eps02_scale,ln(kobs),4,ar2_Ar_polar|ar2_lumo_hartree|ar2_Ar_LUMO|ar1_Ar_NBO_OH,0.566110027632136,0.21065867070646316,2.9181702176312436,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c3_eps02_scale,ln(kobs),4,ar2_isotropic_polarizability_au|ar2_lumo_hartree|ar2_Ar_LUMO|ar1_nbo_q_a,0.566110027632136,0.21065867070646316,2.9181702176312436,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c3_eps02_scale,ln(kobs),4,ar2_isotropic_polarizability_au|ar2_lumo_hartree|ar2_Ar_LUMO|ar1_Ar_NBO_OH,0.566110027632136,0.21065867070646316,2.9181702176312436,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c3_eps02_scale,ln(kobs),4,ar2_scf_energy_hartree|ar1_bond_length_c_a|ar2_lumo_hartree|ar2_Ar_LUMO,0.585504145992897,0.2106531567314146,2.852206134441431,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c3_eps02_scale,ln(kobs),4,ar2_gibbs_free_energy_hartree|ar1_bond_length_c_a|ar2_lumo_hartree|ar2_Ar_LUMO,0.585499465304907,0.2105875393068557,2.852222238642692,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
