category,target,k,features,R2,Q2,RMSE,CV,equation
azoarene_svr_rbf_c10_eps01_g003,ln(kobs),5,ar2_Ar_HOMO|ar2_isotropic_polarizability_au|rate kobs (s-1)|ar2_Ar_Ster_B5|ar1_nbo_q_a,0.6750712809854482,0.48516964130959606,2.5253109587152793,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c10_eps01_g003,ln(kobs),5,ar2_Ar_HOMO|ar2_isotropic_polarizability_au|rate kobs (s-1)|ar2_Ar_Ster_B5|ar1_Ar_NBO_OH,0.6750712809854482,0.48516964130959606,2.5253109587152793,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c10_eps01_g003,ln(kobs),5,ar2_Ar_HOMO|ar2_isotropic_polarizability_au|rate kobs (s-1)|ar2_sterimol_B5|ar1_nbo_q_a,0.6750712809854482,0.48516964130959606,2.5253109587152793,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c10_eps01_g003,ln(kobs),5,ar2_Ar_HOMO|ar2_isotropic_polarizability_au|rate kobs (s-1)|ar2_sterimol_B5|ar1_Ar_NBO_OH,0.6750712809854482,0.48516964130959606,2.5253109587152793,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c10_eps01_g003,ln(kobs),5,ar2_homo_hartree|ar2_Ar_polar|rate kobs (s-1)|ar2_Ar_Ster_B5|ar1_nbo_q_a,0.6750712809854482,0.48516964130959606,2.5253109587152793,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c10_eps01_g003,ln(kobs),5,ar2_homo_hartree|ar2_Ar_polar|rate kobs (s-1)|ar2_Ar_Ster_B5|ar1_Ar_NBO_OH,0.6750712809854482,0.48516964130959606,2.5253109587152793,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c10_eps01_g003,ln(kobs),5,ar2_homo_hartree|ar2_Ar_polar|rate kobs (s-1)|ar2_sterimol_B5|ar1_nbo_q_a,0.6750712809854482,0.48516964130959606,2.5253109587152793,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c10_eps01_g003,ln(kobs),5,ar2_homo_hartree|ar2_Ar_polar|rate kobs (s-1)|ar2_sterimol_B5|ar1_Ar_NBO_OH,0.6750712809854482,0.48516964130959606,2.5253109587152793,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c10_eps01_g003,ln(kobs),5,ar2_homo_hartree|ar2_isotropic_polarizability_au|rate kobs (s-1)|ar2_Ar_Ster_B5|ar1_nbo_q_a,0.6750712809854482,0.48516964130959606,2.5253109587152793,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c10_eps01_g003,ln(kobs),5,ar2_homo_hartree|ar2_isotropic_polarizability_au|rate kobs (s-1)|ar2_Ar_Ster_B5|ar1_Ar_NBO_OH,0.6750712809854482,0.48516964130959606,2.5253109587152793,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c10_eps01_g003,ln(kobs),5,ar2_homo_hartree|ar2_isotropic_polarizability_au|rate kobs (s-1)|ar2_sterimol_B5|ar1_nbo_q_a,0.6750712809854482,0.48516964130959606,2.5253109587152793,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c10_eps01_g003,ln(kobs),5,ar2_homo_hartree|ar2_isotropic_polarizability_au|rate kobs (s-1)|ar2_sterimol_B5|ar1_Ar_NBO_OH,0.6750712809854482,0.48516964130959606,2.5253109587152793,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c10_eps01_g003,ln(kobs),5,ar2_Ar_HOMO|ar2_Ar_polar|ar2_lumo_hartree|ar1_q_a|ar1_nbo_q_a,0.64044313617272,0.4851324749567326,2.656468105794511,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c10_eps01_g003,ln(kobs),5,ar2_Ar_HOMO|ar2_Ar_polar|ar2_lumo_hartree|ar1_q_a|ar1_Ar_NBO_OH,0.64044313617272,0.4851324749567326,2.656468105794511,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c10_eps01_g003,ln(kobs),5,ar2_Ar_HOMO|ar2_Ar_polar|ar2_Ar_LUMO|ar1_q_a|ar1_nbo_q_a,0.64044313617272,0.4851324749567326,2.656468105794511,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c10_eps01_g003,ln(kobs),5,ar2_Ar_HOMO|ar2_Ar_polar|ar2_Ar_LUMO|ar1_q_a|ar1_Ar_NBO_OH,0.64044313617272,0.4851324749567326,2.656468105794511,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c10_eps01_g003,ln(kobs),5,ar2_Ar_HOMO|ar2_isotropic_polarizability_au|ar2_lumo_hartree|ar1_q_a|ar1_nbo_q_a,0.64044313617272,0.4851324749567326,2.656468105794511,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c10_eps01_g003,ln(kobs),5,ar2_Ar_HOMO|ar2_isotropic_polarizability_au|ar2_lumo_hartree|ar1_q_a|ar1_Ar_NBO_OH,0.64044313617272,0.4851324749567326,2.656468105794511,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c10_eps01_g003,ln(kobs),5,ar2_Ar_HOMO|ar2_isotropic_polarizability_au|ar2_Ar_LUMO|ar1_q_a|ar1_nbo_q_a,0.64044313617272,0.4851324749567326,2.656468105794511,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c10_eps01_g003,ln(kobs),5,ar2_Ar_HOMO|ar2_isotropic_polarizability_au|ar2_Ar_LUMO|ar1_q_a|ar1_Ar_NBO_OH,0.64044313617272,0.4851324749567326,2.656468105794511,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c10_eps01_g003,ln(kobs),5,ar2_homo_hartree|ar2_Ar_polar|ar2_lumo_hartree|ar1_q_a|ar1_nbo_q_a,0.64044313617272,0.4851324749567326,2.656468105794511,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c10_eps01_g003,ln(kobs),5,ar2_homo_hartree|ar2_Ar_polar|ar2_lumo_hartree|ar1_q_a|ar1_Ar_NBO_OH,0.64044313617272,0.4851324749567326,2.656468105794511,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c10_eps01_g003,ln(kobs),5,ar2_homo_hartree|ar2_Ar_polar|ar2_Ar_LUMO|ar1_q_a|ar1_nbo_q_a,0.64044313617272,0.4851324749567326,2.656468105794511,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c10_eps01_g003,ln(kobs),5,ar2_homo_hartree|ar2_Ar_polar|ar2_Ar_LUMO|ar1_q_a|ar1_Ar_NBO_OH,0.64044313617272,0.4851324749567326,2.656468105794511,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c10_eps01_g003,ln(kobs),5,ar2_homo_hartree|ar2_isotropic_polarizability_au|ar2_lumo_hartree|ar1_q_a|ar1_nbo_q_a,0.64044313617272,0.4851324749567326,2.656468105794511,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c10_eps01_g003,ln(kobs),5,ar2_homo_hartree|ar2_isotropic_polarizability_au|ar2_lumo_hartree|ar1_q_a|ar1_Ar_NBO_OH,0.64044313617272,0.4851324749567326,2.656468105794511,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c10_eps01_g003,ln(kobs),5,ar2_homo_hartree|ar2_isotropic_polarizability_au|ar2_Ar_LUMO|ar1_q_a|ar1_nbo_q_a,0.64044313617272,0.4851324749567326,2.656468105794511,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c10_eps01_g003,ln(kobs),5,ar2_homo_hartree|ar2_isotropic_polarizability_au|ar2_Ar_LUMO|ar1_q_a|ar1_Ar_NBO_OH,0.64044313617272,0.4851324749567326,2.656468105794511,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c10_eps01_g003,ln(kobs),5,ar2_Ar_HOMO|ar2_homo_hartree|rate kobs (s-1)|ar1_bond_length_c_e|ar2_Ar_Ster_B5,0.6816674830375961,0.48505143589681965,2.4995470480408213,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c10_eps01_g003,ln(kobs),5,ar2_Ar_HOMO|ar2_homo_hartree|rate kobs (s-1)|ar1_bond_length_c_e|ar2_sterimol_B5,0.6816674830375961,0.48505143589681965,2.4995470480408213,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c10_eps01_g003,ln(kobs),4,ar2_Ar_HOMO|ar2_homo_hartree|ar2_Ar_polar|rate kobs (s-1),0.6375821579518242,0.4845347006007068,2.6670158655489753,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c10_eps01_g003,ln(kobs),4,ar2_Ar_HOMO|ar2_homo_hartree|ar2_isotropic_polarizability_au|rate kobs (s-1),0.6375821579518242,0.4845347006007068,2.6670158655489753,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c10_eps01_g003,ln(kobs),4,ar2_Ar_HOMO|ar2_Ar_polar|ar2_lumo_hartree|ar1_q_a,0.6228269460876719,0.4845177212749153,2.7207656959714286,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c10_eps01_g003,ln(kobs),4,ar2_Ar_HOMO|ar2_Ar_polar|ar2_Ar_LUMO|ar1_q_a,0.6228269460876719,0.4845177212749153,2.7207656959714286,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c10_eps01_g003,ln(kobs),4,ar2_Ar_HOMO|ar2_isotropic_polarizability_au|ar2_lumo_hartree|ar1_q_a,0.6228269460876719,0.4845177212749153,2.7207656959714286,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c10_eps01_g003,ln(kobs),4,ar2_Ar_HOMO|ar2_isotropic_polarizability_au|ar2_Ar_LUMO|ar1_q_a,0.6228269460876719,0.4845177212749153,2.7207656959714286,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c10_eps01_g003,ln(kobs),4,ar2_homo_hartree|ar2_Ar_polar|ar2_lumo_hartree|ar1_q_a,0.6228269460876719,0.4845177212749153,2.7207656959714286,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c10_eps01_g003,ln(kobs),4,ar2_homo_hartree|ar2_Ar_polar|ar2_Ar_LUMO|ar1_q_a,0.6228269460876719,0.4845177212749153,2.7207656959714286,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c10_eps01_g003,ln(kobs),4,ar2_homo_hartree|ar2_isotropic_polarizability_au|ar2_lumo_hartree|ar1_q_a,0.6228269460876719,0.4845177212749153,2.7207656959714286,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
