category,target,elapsed_seconds_batch_runner,features_csv,top_models_csv,regression_report_json,best_r2,best_q2,best_rmse,best_features
azoarene,ln(kobs),404.451695,C:\Users\pecu6\OneDrive\桌面\Temp Doc\DFTDescriptorPipeline\results\azoarene\azoarene_features.csv,C:\Users\pecu6\OneDrive\桌面\Temp Doc\DFTDescriptorPipeline\results\azoarene\azoarene_top_models_by_k.csv,C:\Users\pecu6\OneDrive\桌面\Temp Doc\DFTDescriptorPipeline\results\azoarene\azoarene_regression_report.json,0.6606231844371835,0.5043628163060295,2.5808448620210194,ar2_Ar_HOMO|ar1_nbo_q_a|ar1_Ar_NBO_OH
heck_boronic_acids,ddG,310.897737,C:\Users\pecu6\OneDrive\桌面\Temp Doc\DFTDescriptorPipeline\results\heck_boronic_acids\heck_boronic_acids_features.csv,C:\Users\pecu6\OneDrive\桌面\Temp Doc\DFTDescriptorPipeline\results\heck_boronic_acids\heck_boronic_acids_top_models_by_k.csv,C:\Users\pecu6\OneDrive\桌面\Temp Doc\DFTDescriptorPipeline\results\heck_boronic_acids\heck_boronic_acids_regression_report.json,0.8312748438641054,0.6407224429846164,0.27441397501652165,bond_length_c_e|q_e|enthalpy_hartree|gibbs_free_energy_hartree|homo_hartree
indigo_aryl_alkyl,ln(kobs)_MeCN,363.481576,C:\Users\pecu6\OneDrive\桌面\Temp Doc\DFTDescriptorPipeline\results\indigo_aryl_alkyl\indigo_aryl_alkyl_features.csv,C:\Users\pecu6\OneDrive\桌面\Temp Doc\DFTDescriptorPipeline\results\indigo_aryl_alkyl\indigo_aryl_alkyl_top_models_by_k.csv,C:\Users\pecu6\OneDrive\桌面\Temp Doc\DFTDescriptorPipeline\results\indigo_aryl_alkyl\indigo_aryl_alkyl_regression_report.json,0.9908443974537028,0.9782294147641333,0.05160677910869846,kobs_MeCN|ln(kobs)_toluene|kobs_toluene|LUMO|Ster_B1
indigo_diaryl,ln(kobs),224.782079,C:\Users\pecu6\OneDrive\桌面\Temp Doc\DFTDescriptorPipeline\results\indigo_diaryl\indigo_diaryl_features.csv,C:\Users\pecu6\OneDrive\桌面\Temp Doc\DFTDescriptorPipeline\results\indigo_diaryl\indigo_diaryl_top_models_by_k.csv,C:\Users\pecu6\OneDrive\桌面\Temp Doc\DFTDescriptorPipeline\results\indigo_diaryl\indigo_diaryl_regression_report.json,0.9894644004948007,0.9760401570646863,0.19097763068725637,ar1_nbo_q_b|ar2_bond_length_c_a|ar2_bond_length_c_d|Ar2_v_C=O
