category,target,k,features,R2,Q2,RMSE,CV,equation
azoarene,ln(kobs),4,ar2_Ar_HOMO|ar2_Ar_polar|ar1_bond_length_c_e|ar1_Ar_NBO_OH,0.7095994041442647,0.48926818791976834,2.3873690851523017,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene,ln(kobs),4,ar2_Ar_HOMO|ar2_isotropic_polarizability_au|ar1_bond_length_c_e|ar1_nbo_q_a,0.7095994041442647,0.48926818791976834,2.3873690851523017,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene,ln(kobs),4,ar2_Ar_HOMO|ar2_isotropic_polarizability_au|ar1_bond_length_c_e|ar1_Ar_NBO_OH,0.7095994041442647,0.48926818791976834,2.3873690851523017,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene,ln(kobs),4,ar2_homo_hartree|ar2_Ar_polar|ar1_bond_length_c_e|ar1_nbo_q_a,0.7095994041442647,0.48926818791976834,2.3873690851523017,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene,ln(kobs),4,ar2_homo_hartree|ar2_Ar_polar|ar1_bond_length_c_e|ar1_Ar_NBO_OH,0.7095994041442647,0.48926818791976834,2.3873690851523017,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene,ln(kobs),4,ar2_homo_hartree|ar2_isotropic_polarizability_au|ar1_bond_length_c_e|ar1_nbo_q_a,0.7095994041442647,0.48926818791976834,2.3873690851523017,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene,ln(kobs),4,ar2_homo_hartree|ar2_isotropic_polarizability_au|ar1_bond_length_c_e|ar1_Ar_NBO_OH,0.7095994041442647,0.48926818791976834,2.3873690851523017,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene,ln(kobs),3,ar2_Ar_HOMO|ar1_bond_length_c_e|ar1_nbo_q_a,0.695986256235385,0.48864675370868027,2.442684760525743,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene,ln(kobs),3,ar2_Ar_HOMO|ar1_bond_length_c_e|ar1_Ar_NBO_OH,0.695986256235385,0.48864675370868027,2.442684760525743,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene,ln(kobs),3,ar2_homo_hartree|ar1_bond_length_c_e|ar1_nbo_q_a,0.695986256235385,0.48864675370868027,2.442684760525743,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene,ln(kobs),3,ar2_homo_hartree|ar1_bond_length_c_e|ar1_Ar_NBO_OH,0.695986256235385,0.48864675370868027,2.442684760525743,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene,ln(kobs),4,ar2_Ar_HOMO|ar1_bond_length_c_e|ar1_nbo_q_a|ar1_Ar_NBO_OH,0.6916642747619473,0.48623157883887946,2.4599865789060074,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene,ln(kobs),4,ar2_homo_hartree|ar1_bond_length_c_e|ar1_nbo_q_a|ar1_Ar_NBO_OH,0.6916642747619473,0.48623157883887946,2.4599865789060074,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene,ln(kobs),4,ar2_Ar_HOMO|ar2_lumo_hartree|ar1_bond_length_c_e|ar1_nbo_q_a,0.7107402280916196,0.4820871456659589,2.382675141719117,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene,ln(kobs),4,ar2_Ar_HOMO|ar2_lumo_hartree|ar1_bond_length_c_e|ar1_Ar_NBO_OH,0.7107402280916196,0.4820871456659589,2.382675141719117,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene,ln(kobs),4,ar2_Ar_HOMO|ar2_Ar_LUMO|ar1_bond_length_c_e|ar1_nbo_q_a,0.7107402280916196,0.4820871456659589,2.382675141719117,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
