Compound,Ar1,Ar2,rate kobs (s-1),ln(kobs),logkey1,logkey2,ar1_scf_energy_hartree,ar1_gibbs_free_energy_hartree,ar1_enthalpy_hartree,ar1_dipole_total_debye,ar1_homo_hartree,ar1_lumo_hartree,ar1_gap_hartree,ar1_q_a,ar1_q_b,ar1_q_c,ar1_q_d,ar1_q_e,ar1_q_f,ar1_q_g,ar1_q_mean,ar1_q_std,ar2_scf_energy_hartree,ar2_gibbs_free_energy_hartree,ar2_enthalpy_hartree,ar2_dipole_total_debye,ar2_homo_hartree,ar2_lumo_hartree,ar2_gap_hartree,ar2_q_a,ar2_q_b,ar2_q_c,ar2_q_d,ar2_q_e,ar2_q_f,ar2_q_g,ar2_q_mean,ar2_q_std,sum_scf_energy_hartree,diff_scf_energy_hartree,absdiff_scf_energy_hartree,prod_scf_energy_hartree,sum_gibbs_free_energy_hartree,diff_gibbs_free_energy_hartree,absdiff_gibbs_free_energy_hartree,prod_gibbs_free_energy_hartree,sum_enthalpy_hartree,diff_enthalpy_hartree,absdiff_enthalpy_hartree,prod_enthalpy_hartree,sum_dipole_total_debye,diff_dipole_total_debye,absdiff_dipole_total_debye,prod_dipole_total_debye,sum_homo_hartree,diff_homo_hartree,absdiff_homo_hartree,prod_homo_hartree,sum_lumo_hartree,diff_lumo_hartree,absdiff_lumo_hartree,prod_lumo_hartree,sum_gap_hartree,diff_gap_hartree,absdiff_gap_hartree,prod_gap_hartree,sum_q_a,diff_q_a,absdiff_q_a,prod_q_a,sum_q_b,diff_q_b,absdiff_q_b,prod_q_b,sum_q_c,diff_q_c,absdiff_q_c,prod_q_c,sum_q_d,diff_q_d,absdiff_q_d,prod_q_d,sum_q_e,diff_q_e,absdiff_q_e,prod_q_e,sum_q_f,diff_q_f,absdiff_q_f,prod_q_f,sum_q_g,diff_q_g,absdiff_q_g,prod_q_g,sum_q_mean,diff_q_mean,absdiff_q_mean,prod_q_mean,sum_q_std,diff_q_std,absdiff_q_std,prod_q_std
A1,1,2,2.1e-07,-15.376158306228943,1,2,-420.818906317,-420.734362,-420.694299,,-0.32424,19.02267,19.34691,-0.517274,0.304114,0.333826,-0.910813,1.772847,-0.562666,-1.003185,-0.0833072857142857,0.9762561792835106,-486.15028583,-486.092401,-486.05012,,-0.37129,17.36593,17.737219999999997,-0.461353,0.307143,0.735323,-0.816094,0.529488,-0.161633,-0.830355,-0.09964014285714286,0.6377522811406815,-906.9691921470001,65.33137951299994,65.33137951299994,204581.23158867753,-906.826763,65.35803900000002,65.35803900000002,204515.77620778314,-906.744419,65.35582099999999,65.35582099999999,204478.5145122659,,,,,-0.69553,0.047050000000000036,0.047050000000000036,0.1203870696,36.3886,1.6567400000000028,1.6567400000000028,330.3463556331,37.08413,1.609690000000004,1.609690000000004,343.16039899019995,-0.978627,-0.055921,0.055921,0.238645911722,0.6112569999999999,-0.003029000000000004,0.003029000000000004,0.093406486302,1.069149,-0.40149699999999994,0.40149699999999994,0.245469935798,-1.726907,-0.094719,0.094719,0.743309024422,2.3023350000000002,1.243359,1.243359,0.938701212336,-0.724299,-0.401033,0.401033,0.090945393578,-1.83354,-0.17283000000000004,0.17283000000000004,0.832999680675,-0.18294742857142854,0.016332857142857163,0.016332857142857163,0.008300749849612243,1.6140084604241922,0.3385038981428291,0.3385038981428291,0.622609605315745
A2,1,3,3.8e-07,-14.78309458422598,1,3,-420.818906317,-420.734362,-420.694299,,-0.32424,19.02267,19.34691,-0.517274,0.304114,0.333826,-0.910813,1.772847,-0.562666,-1.003185,-0.0833072857142857,0.9762561792835106,-470.141385005,-470.071165,-470.028815,,-0.34299,19.41209,19.75508,-0.507386,0.305645,0.684316,-0.854939,0.628297,-0.49596,-1.018486,-0.17978757142857144,0.7073248521391137,-890.9602913220001,49.32247868799999,49.32247868799999,197844.38345216375,-890.805527,49.33680300000003,49.33680300000003,197775.0917008717,-890.723114,49.33451600000001,49.33451600000001,197738.4428362257,,,,,-0.66723,0.018750000000000044,0.018750000000000044,0.1112110776,38.43476,-0.38941999999999766,0.38941999999999766,369.2697820803,39.10199,-0.40816999999999837,0.40816999999999837,382.1997548028,-1.02466,-0.009888000000000008,0.009888000000000008,0.262457585764,0.6097589999999999,-0.0015310000000000046,0.0015310000000000046,0.09295092353,1.018142,-0.35049,0.35049,0.228442473016,-1.765752,-0.05587399999999998,0.05587399999999998,0.778689555407,2.401144,1.1445500000000002,1.1445500000000002,1.113874451559,-1.058626,-0.06670599999999999,0.06670599999999999,0.27905982936,-2.021671,0.015301000000000009,0.015301000000000009,1.02172987791,-0.26309485714285713,0.09648028571428574,0.09648028571428574,0.014977614580877548,1.6835810314226243,0.26893132714439694,0.26893132714439694,0.6905302576616051
A3,1,4,1.1e-07,-16.022785471153995,1,4,-420.818906317,-420.734362,-420.694299,,-0.32424,19.02267,19.34691,-0.517274,0.304114,0.333826,-0.910813,1.772847,-0.562666,-1.003185,-0.0833072857142857,0.9762561792835106,-454.089184502,-454.0065,-453.965877,,-0.32287,18.06534,18.38821,-0.495291,0.287985,0.679176,-0.884034,0.778888,-0.150567,-0.976396,-0.10860557142857143,0.7154444519399246,-874.9080908190001,33.270278184999995,33.270278184999995,191089.31399251008,-874.740862,33.27213800000004,33.27213800000004,191016.135121353,-874.660176,33.27157799999998,33.27157799999998,190980.85639443522,,,,,-0.64711,-0.0013699999999999823,0.0013699999999999823,0.10468736879999999,37.08801,0.9573300000000025,0.9573300000000025,343.65100125780003,37.73512,0.9587000000000003,0.9587000000000003,355.75504393110003,-1.012565,-0.02198300000000003,0.02198300000000003,0.256201156734,0.5920989999999999,0.016129000000000004,0.016129000000000004,0.08758027029,1.013002,-0.34535,0.34535,0.226726607376,-1.7948469999999999,-0.026778999999999997,0.026778999999999997,0.805189659642,2.551735,0.993959,0.993959,1.380849254136,-0.713233,-0.412099,0.412099,0.084718931622,-1.979581,-0.026788999999999952,0.026788999999999952,0.9795058212600001,-0.1919128571428571,0.02529828571428573,0.02529828571428573,0.009047635369163263,1.6917006312234353,0.26081172734358604,0.26081172734358604,0.698457067140456
A4,1,5,1.5e-06,-13.41004544985611,1,5,-420.818906317,-420.734362,-420.694299,,-0.32424,19.02267,19.34691,-0.517274,0.304114,0.333826,-0.910813,1.772847,-0.562666,-1.003185,-0.0833072857142857,0.9762561792835106,-493.399996838,-493.291263,-493.247098,,-0.30651,19.53712,19.84363,-0.42485,0.266327,0.698155,-0.900805,0.564618,1.374706,-1.187537,0.05580199999999997,0.9262248468721477,-914.218903155,72.58109052099996,72.58109052099996,207632.04704617843,-914.025625,72.55690100000004,72.55690100000004,207544.5848184792,-913.941397,72.552799,72.552799,207506.2421268943,,,,,-0.6307499999999999,-0.017729999999999968,0.017729999999999968,0.0993828024,38.55979000000001,-0.5144500000000001,0.5144500000000001,371.6481865104001,39.19054,-0.49671999999999983,0.49671999999999983,383.91292368330005,-0.942124,-0.092424,0.092424,0.2197638589,0.570441,0.037787000000000015,0.037787000000000015,0.08099376927799999,1.031981,-0.36432899999999996,0.36432899999999996,0.23306229103,-1.811618,-0.010008000000000017,0.010008000000000017,0.820464904465,2.337465,1.2082290000000002,1.2082290000000002,1.000981327446,0.81204,-1.9373719999999999,1.9373719999999999,-0.773500326196,-2.190722,0.18435200000000007,0.18435200000000007,1.191319305345,-0.027505285714285725,-0.13910928571428566,0.13910928571428566,-0.004648713157428568,1.9024810261556584,0.05003133241136293,0.05003133241136293,0.9042327301648576
A5,1,6,7.6e-09,-18.695117589654124,1,6,-420.818906317,-420.734362,-420.694299,,-0.32424,19.02267,19.34691,-0.517274,0.304114,0.333826,-0.910813,1.772847,-0.562666,-1.003185,-0.0833072857142857,0.9762561792835106,-454.094659198,-454.012573,-453.970149,,-0.32103,17.81512,18.13615,-0.518716,0.28194,0.391064,-0.912286,1.441844,-1.300609,-0.17745,-0.11345899999999999,0.9170268108674177,-874.9135655150001,33.27575288099996,33.27575288099996,191091.6178480932,-874.7469349999999,33.278211,33.278211,191018.69024113342,-874.664448,33.27584999999999,33.27584999999999,190982.65360048055,,,,,-0.64527,-0.0032099999999999906,0.0032099999999999906,0.10409076719999999,36.83779,1.2075500000000012,1.2075500000000012,338.89114877040004,37.48306,1.2107600000000005,1.2107600000000005,350.87846179650006,-1.03599,0.0014419999999999433,0.0014419999999999433,0.268318300184,0.5860540000000001,0.02217399999999997,0.02217399999999997,0.08574190116000001,0.72489,-0.05723800000000001,0.05723800000000001,0.130547330864,-1.823099,0.0014730000000000576,0.0014730000000000576,0.830921948518,3.214691,0.33100300000000016,0.33100300000000016,2.5561688098679998,-1.8632749999999998,0.7379429999999999,0.7379429999999999,0.731808463594,-1.180635,-0.825735,0.825735,0.17801517825,-0.19676628571428567,0.030151714285714296,0.030151714285714296,0.00945196132985714,1.8932829901509283,0.05922936841609294,0.05922936841609294,0.8952530906779677
A6,1,7,7.7e-07,-14.076875322098681,1,7,-420.818906317,-420.734362,-420.694299,,-0.32424,19.02267,19.34691,-0.517274,0.304114,0.333826,-0.910813,1.772847,-0.562666,-1.003185,-0.0833072857142857,0.9762561792835106,-532.724572071,-532.590117,-532.541019,,-0.30611,19.08554,19.391650000000002,-0.502048,0.283778,0.20642,-0.957208,2.431355,0.598034,-1.145035,0.1307565714285714,1.2077523549177147,-953.543478388,111.90566575399998,111.90566575399998,224180.5717871101,-953.3244789999999,111.85575499999999,111.85575499999999,224078.96308350033,-953.235318,111.84672,111.84672,224036.97067695067,,,,,-0.63035,-0.01812999999999998,0.01812999999999998,0.09925310639999999,38.10821,-0.0628700000000002,0.0628700000000002,363.05792919180004,38.73856000000001,-0.04474000000000089,0.04474000000000089,375.1685073015001,-1.019322,-0.015225999999999962,0.015225999999999962,0.25969637715200006,0.587892,0.02033600000000002,0.02033600000000002,0.08630086269199999,0.540246,0.12740600000000002,0.12740600000000002,0.06890836292,-1.868021,0.046394999999999964,0.046394999999999964,0.8718374901039999,4.204202,-0.6585079999999999,0.6585079999999999,4.310420417685,0.035367999999999955,-1.1606999999999998,1.1606999999999998,-0.33649339864399996,-2.1482200000000002,0.14185000000000003,0.14185000000000003,1.148681936475,0.047449285714285694,-0.21406385714285708,0.21406385714285708,-0.010892975055020402,2.1840085342012254,-0.2314961756342041,0.2314961756342041,1.1790756995326306
A7,1,8,7.4e-07,-14.116615650748196,1,8,-420.818906317,-420.734362,-420.694299,,-0.32424,19.02267,19.34691,-0.517274,0.304114,0.333826,-0.910813,1.772847,-0.562666,-1.003185,-0.0833072857142857,0.9762561792835106,-454.092454004,-454.009377,-453.967965,,-0.32186,18.14436,18.46622,-0.523666,0.287094,0.581864,-0.891118,0.360707,0.62908,-0.304796,0.01988071428571429,0.5923528139368502,-874.9113603210001,33.27354768699996,33.27354768699996,191090.6898607659,-874.743739,33.275014999999996,33.275014999999996,191017.34557411246,-874.662264,33.27366599999999,33.27366599999999,190981.73480413153,,,,,-0.6460999999999999,-0.0023799999999999932,0.0023799999999999932,0.10435988639999999,37.16703,0.8783100000000026,0.8783100000000026,345.15417264120003,37.81313,0.8806900000000013,0.8806900000000013,357.2642963802,-1.04094,0.006391999999999953,0.006391999999999953,0.270878806484,0.591208,0.01701999999999998,0.01701999999999998,0.087309304716,0.9156900000000001,-0.24803800000000004,0.24803800000000004,0.194241331664,-1.801931,-0.019695000000000018,0.019695000000000018,0.811641858934,2.133554,1.41214,1.41214,0.639478322829,0.06641399999999997,-1.191746,1.191746,-0.35396192728,-1.307981,-0.6983889999999999,0.6983889999999999,0.30576677526,-0.0634265714285714,-0.10318799999999999,0.10318799999999999,-0.0016562083452040816,1.5686089932203608,0.38390336534666036,0.38390336534666036,0.5782880949218256
A8,1,9,1.6e-05,-11.042921835724492,1,9,-420.818906317,-420.734362,-420.694299,,-0.32424,19.02267,19.34691,-0.517274,0.304114,0.333826,-0.910813,1.772847,-0.562666,-1.003185,-0.0833072857142857,0.9762561792835106,-493.403782321,-493.294916,-493.249774,,-0.30763,19.6178,19.92543,-0.464914,0.285214,0.483229,-0.929266,0.056155,0.4389,1.325061,0.17062557142857143,0.7236849299197493,-914.222688638,72.58487600399997,72.58487600399997,207633.64004899436,-914.029278,72.56055400000002,72.56055400000002,207546.12176110357,-913.944073,72.555475,72.555475,207507.36790483844,,,,,-0.6318699999999999,-0.016609999999999958,0.016609999999999958,0.0997459512,38.64047,-0.5951299999999975,0.5951299999999975,373.182935526,39.27234,-0.5785199999999975,0.5785199999999975,385.4955009213,-0.9821880000000001,-0.05236000000000002,0.05236000000000002,0.240487924436,0.5893280000000001,0.018899999999999972,0.018899999999999972,0.08673757039600001,0.8170550000000001,-0.149403,0.149403,0.161314404154,-1.840079,0.018453000000000053,0.018453000000000053,0.846387553258,1.829002,1.716692,1.716692,0.099554223285,-0.12376599999999999,-1.001566,1.001566,-0.2469541074,0.32187600000000005,-2.328246,2.328246,-1.329281319285,0.08731828571428574,-0.2539328571428571,0.2539328571428571,-0.014214353229163262,1.69994110920326,0.2525712493637613,0.2525712493637613,0.7065018846885096
A9,1,10,2.2e-06,-13.027053197600004,1,10,-420.818906317,-420.734362,-420.694299,,-0.32424,19.02267,19.34691,-0.517274,0.304114,0.333826,-0.910813,1.772847,-0.562666,-1.003185,-0.0833072857142857,0.9762561792835106,-516.683695335,-516.536852,-516.48935,,-0.26252,20.92188,21.1844,-0.472768,0.26824,0.382727,-0.956152,1.085834,0.102148,-0.577229,-0.023885714285714305,0.6921991764814311,-937.5026016520001,95.86478901800001,95.86478901800001,217430.26758270076,-937.2712139999999,95.80248999999998,95.80248999999998,217324.80287570838,-937.183649,95.79505099999994,95.79505099999994,217284.12503921564,,,,,-0.58676,-0.06172,0.06172,0.08511948479999998,39.94455000000001,-1.89921,1.89921,397.9900190196001,40.531310000000005,-1.837489999999999,1.837489999999999,409.852680204,-0.9900420000000001,-0.04450599999999999,0.04450599999999999,0.24455059443200003,0.572354,0.03587400000000002,0.03587400000000002,0.08157553935999999,0.716553,-0.04890099999999997,0.04890099999999997,0.127764223502,-1.866965,0.04533900000000002,0.04533900000000002,0.870875671576,2.858681,0.6870130000000001,0.6870130000000001,1.925017549398,-0.460518,-0.664814,0.664814,-0.057475206568,-1.580414,-0.425956,0.425956,0.579067474365,-0.107193,-0.05942157142857139,0.05942157142857139,0.001989854024489797,1.6684553557649417,0.28405700280207946,0.28405700280207946,0.6757637233349545
A10,1,11,0.000759999999999999,-7.1821921246838984,1,11,-420.818906317,-420.734362,-420.694299,,-0.32424,19.02267,19.34691,-0.517274,0.304114,0.333826,-0.910813,1.772847,-0.562666,-1.003185,-0.0833072857142857,0.9762561792835106,-555.995219904,-555.822605,-555.771315,,-0.25658,20.53368,20.79026,-0.514221,0.266893,0.069022,-0.96015,1.752157,-0.071216,0.707606,0.1785844285714286,0.8770112603721909,-976.814126221,135.17631358699998,135.17631358699998,233973.3003574812,-976.556967,135.08824299999998,135.08824299999998,233853.66909985297,-976.465614,135.07701599999996,135.07701599999996,233809.82376823318,,,,,-0.5808199999999999,-0.06766,0.06766,0.08319349919999998,39.55635,-1.5110099999999989,1.5110099999999989,390.60541852560004,40.13717,-1.4433499999999988,1.4433499999999988,402.22728909660003,-1.031495,-0.0030529999999999724,0.0030529999999999724,0.26599315355400005,0.571007,0.037221000000000004,0.037221000000000004,0.081165897802,0.402848,0.26480400000000004,0.26480400000000004,0.023041338172000003,-1.870963,0.049336999999999964,0.049336999999999964,0.87451710195,3.525004,0.020690000000000097,0.020690000000000097,3.106306280979,-0.6338820000000001,-0.49145,0.49145,0.040070821856,-0.29557900000000004,-1.710791,1.710791,-0.70985972511,0.0952771428571429,-0.2618917142857143,0.2618917142857143,-0.014877384015122447,1.8532674396557014,0.0992449189113197,0.0992449189113197,0.8561876622395712
