feature,pearson_corr,abs_pearson_corr,n_valid
sum_homo_hartree,0.7069375623123455,0.7069375623123455,26
prod_homo_hartree,-0.7023471175451211,0.7023471175451211,26
ar2_homo_hartree,0.6838036953824855,0.6838036953824855,26
Ar2,0.5912648985473701,0.5912648985473701,26
prod_q_a,0.5874785214912579,0.5874785214912579,26
ar2_scf_energy_hartree,-0.5802393387966649,0.5802393387966649,26
ar2_gibbs_free_energy_hartree,-0.5801646800520858,0.5801646800520858,26
ar2_enthalpy_hartree,-0.5801625530169967,0.5801625530169967,26
sum_q_a,-0.5789182171729869,0.5789182171729869,26
prod_lumo_hartree,0.5599695503061076,0.5599695503061076,26
sum_lumo_hartree,0.5563229811991364,0.5563229811991364,26
ar2_lumo_hartree,0.5552945874655743,0.5552945874655743,26
sum_q_g,0.5509775783631392,0.5509775783631392,26
prod_gap_hartree,0.5494135083310958,0.5494135083310958,26
ar2_gap_hartree,0.5477981930226954,0.5477981930226954,26
sum_gap_hartree,0.5459886539357426,0.5459886539357426,26
ar1_q_a,-0.542504906672401,0.542504906672401,26
ar2_q_a,-0.46369931089569805,0.46369931089569805,26
ar2_q_g,0.4546407828465161,0.4546407828465161,26
ar1_homo_hartree,0.4484357881139808,0.4484357881139808,26
sum_q_d,-0.4349636070829089,0.4349636070829089,26
prod_q_d,0.4338862689190507,0.4338862689190507,26
absdiff_q_e,-0.4309449057775423,0.4309449057775423,26
diff_gap_hartree,-0.41303089896001766,0.41303089896001766,26
diff_lumo_hartree,-0.41104776441501545,0.41104776441501545,26
absdiff_q_c,-0.40377850053869774,0.40377850053869774,26
prod_q_mean,-0.37560443330462656,0.37560443330462656,26
prod_scf_energy_hartree,0.36628869035918016,0.36628869035918016,26
prod_gibbs_free_energy_hartree,0.3661575269815596,0.3661575269815596,26
prod_enthalpy_hartree,0.36614952473135925,0.36614952473135925,26
absdiff_q_std,-0.34645292852347104,0.34645292852347104,26
sum_q_std,-0.3462288229388134,0.3462288229388134,26
absdiff_homo_hartree,0.3415397192192496,0.3415397192192496,26
sum_scf_energy_hartree,-0.33977087404988054,0.33977087404988054,26
sum_gibbs_free_energy_hartree,-0.3396378237259811,0.3396378237259811,26
sum_enthalpy_hartree,-0.3396277824288694,0.3396277824288694,26
prod_q_g,-0.30646450803444975,0.30646450803444975,26
prod_q_std,-0.30425276634641485,0.30425276634641485,26
ar2_q_c,-0.2874700969717989,0.2874700969717989,26
Ar1,0.28670145719065543,0.28670145719065543,26
sum_q_c,-0.2765507582256529,0.2765507582256529,26
ar2_q_d,-0.2653821293954565,0.2653821293954565,26
prod_q_c,-0.2636630665877434,0.2636630665877434,26
absdiff_q_f,-0.23789691774921898,0.23789691774921898,26
absdiff_q_d,-0.23652017994607136,0.23652017994607136,26
ar1_q_d,-0.23023669797003626,0.23023669797003626,26
ar1_lumo_hartree,0.22879555814993852,0.22879555814993852,26
ar2_q_mean,0.2231681739278316,0.2231681739278316,26
sum_q_f,-0.2179980500990151,0.2179980500990151,26
ar1_gap_hartree,0.21506209325885772,0.21506209325885772,26
diff_homo_hartree,-0.20997118080554875,0.20997118080554875,26
ar1_q_f,-0.20823485776508965,0.20823485776508965,26
ar1_q_g,0.20741172899255736,0.20741172899255736,26
ar1_scf_energy_hartree,-0.19372210065873952,0.19372210065873952,26
ar1_gibbs_free_energy_hartree,-0.19362954294149431,0.19362954294149431,26
ar1_enthalpy_hartree,-0.19362121959259887,0.19362121959259887,26
ar2_q_std,-0.18749773823428273,0.18749773823428273,26
diff_q_mean,-0.18319655871254514,0.18319655871254514,26
absdiff_q_a,0.1737117450994912,0.1737117450994912,26
diff_q_c,0.17235065255847293,0.17235065255847293,26
diff_q_g,-0.1611397336285917,0.1611397336285917,26
ar1_q_std,-0.14757088928542125,0.14757088928542125,26
ar2_q_b,-0.13782292193720563,0.13782292193720563,26
ar2_q_f,-0.1279021917596726,0.1279021917596726,26
ar1_q_e,-0.12251290858542399,0.12251290858542399,26
absdiff_gap_hartree,-0.11863456516785047,0.11863456516785047,26
sum_q_mean,0.10962446872074348,0.10962446872074348,26
prod_q_b,-0.10711699506840967,0.10711699506840967,26
sum_q_b,-0.10117169848125702,0.10117169848125702,26
absdiff_lumo_hartree,-0.09769022661739882,0.09769022661739882,26
prod_q_f,-0.0781241695484118,0.0781241695484118,26
ar1_q_c,-0.07396388411603562,0.07396388411603562,26
absdiff_q_g,0.07257340809844938,0.07257340809844938,26
sum_q_e,-0.0701608137178686,0.0701608137178686,26
diff_q_b,0.07004471759568907,0.07004471759568907,26
diff_q_std,0.06653951613594807,0.06653951613594807,26
absdiff_q_b,-0.06433375941172355,0.06433375941172355,26
absdiff_scf_energy_hartree,0.0481103829733761,0.0481103829733761,26
absdiff_gibbs_free_energy_hartree,0.04794851317986456,0.04794851317986456,26
absdiff_enthalpy_hartree,0.0479367990253678,0.0479367990253678,26
diff_q_d,0.035893646175774195,0.035893646175774195,26
diff_q_f,-0.03018054094562611,0.03018054094562611,26
prod_q_e,-0.02896365910411849,0.02896365910411849,26
diff_q_e,-0.02531496318313349,0.02531496318313349,26
ar1_q_mean,-0.024568256438040795,0.024568256438040795,26
diff_scf_energy_hartree,0.02120993645104368,0.02120993645104368,26
diff_enthalpy_hartree,0.021203812457438822,0.021203812457438822,26
diff_gibbs_free_energy_hartree,0.02120262569073291,0.02120262569073291,26
absdiff_q_mean,0.017504107044324015,0.017504107044324015,26
ar2_q_e,-0.012574961754888196,0.012574961754888196,26
ar1_q_b,-0.01122384814906669,0.01122384814906669,26
diff_q_a,-0.009546041188851473,0.009546041188851473,26
