category,target,k,features,R2,Q2,RMSE,CV,equation
azoarene_svr_rbf_c10_eps01_g03,ln(kobs),5,ar2_Ar_HOMO|rate kobs (s-1)|ar1_bond_length_c_a|ar2_gap_hartree|ar1_nbo_q_a,0.7837134535514654,0.363221303900238,2.0603242168834592,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c10_eps01_g03,ln(kobs),5,ar2_Ar_HOMO|rate kobs (s-1)|ar1_bond_length_c_a|ar2_gap_hartree|ar1_Ar_NBO_OH,0.7837134535514654,0.363221303900238,2.0603242168834592,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c10_eps01_g03,ln(kobs),5,ar2_homo_hartree|rate kobs (s-1)|ar1_bond_length_c_a|ar2_gap_hartree|ar1_nbo_q_a,0.7837134535514654,0.363221303900238,2.0603242168834592,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c10_eps01_g03,ln(kobs),5,ar2_homo_hartree|rate kobs (s-1)|ar1_bond_length_c_a|ar2_gap_hartree|ar1_Ar_NBO_OH,0.7837134535514654,0.363221303900238,2.0603242168834592,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c10_eps01_g03,ln(kobs),3,ar1_bond_length_c_a|ar2_Ar_Ster_B5|ar1_nbo_q_a,0.5541877961702493,0.362951361766662,2.95799060715195,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c10_eps01_g03,ln(kobs),3,ar1_bond_length_c_a|ar2_Ar_Ster_B5|ar1_Ar_NBO_OH,0.5541877961702493,0.362951361766662,2.95799060715195,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c10_eps01_g03,ln(kobs),3,ar1_bond_length_c_a|ar2_sterimol_B5|ar1_nbo_q_a,0.5541877961702493,0.362951361766662,2.95799060715195,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c10_eps01_g03,ln(kobs),3,ar1_bond_length_c_a|ar2_sterimol_B5|ar1_Ar_NBO_OH,0.5541877961702493,0.362951361766662,2.95799060715195,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c10_eps01_g03,ln(kobs),4,ar2_Ar_HOMO|ar2_Ar_polar|ar2_isotropic_polarizability_au|ar1_bond_length_c_a,0.714303408842835,0.3627354689693102,2.36795444678731,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c10_eps01_g03,ln(kobs),4,ar2_homo_hartree|ar2_Ar_polar|ar2_isotropic_polarizability_au|ar1_bond_length_c_a,0.714303408842835,0.3627354689693102,2.36795444678731,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c10_eps01_g03,ln(kobs),5,ar2_Ar_HOMO|ar2_homo_hartree|rate kobs (s-1)|ar1_nbo_q_a|ar1_Ar_NBO_OH,0.7502733254359282,0.36221593471853286,2.213875943660099,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c10_eps01_g03,ln(kobs),5,ar2_Ar_HOMO|rate kobs (s-1)|ar1_bond_length_c_a|ar2_gap_hartree|ar2_Ar_Ster_B5,0.7904811319192704,0.36213053344983237,2.0278339220614465,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
