experiment,regressor,GAUSS_LUMO_MODE,SVR_C,SVR_EPSILON,SVR_GAMMA,RIDGE_ALPHA,best_r2,best_q2,best_rmse,cv,best_features,equation_pretty,elapsed_seconds,report_json,top_models_csv
svr_rbf_c10_eps01_g003,svr_rbf,lastblock_first,10.0,0.1,0.03,,0.6317813533717568,0.5876158935483081,2.6882750595251457,LOOCV,ar2_Ar_HOMO|ar2_homo_hartree|ar2_Ar_polar|ar1_nbo_q_a,ln(kobs) = <nonlinear model; no closed-form linear equation>,465.279032,C:\Users\pecu6\OneDrive\桌面\Temp Doc\DFTDescriptorPipeline\results\azoarene_experiments\svr_rbf_c10_eps01_g003\azoarene_regression_report.json,C:\Users\pecu6\OneDrive\桌面\Temp Doc\DFTDescriptorPipeline\results\azoarene_experiments\svr_rbf_c10_eps01_g003\azoarene_top_models_by_k.csv
svr_rbf_c10_eps01_g03,svr_rbf,lastblock_first,10.0,0.1,0.3,,0.6589446744632875,0.505960528295442,2.58721923781121,LOOCV,ar2_Ar_HOMO|ar1_nbo_q_a|ar1_Ar_NBO_OH,ln(kobs) = <nonlinear model; no closed-form linear equation>,506.293961,C:\Users\pecu6\OneDrive\桌面\Temp Doc\DFTDescriptorPipeline\results\azoarene_experiments\svr_rbf_c10_eps01_g03\azoarene_regression_report.json,C:\Users\pecu6\OneDrive\桌面\Temp Doc\DFTDescriptorPipeline\results\azoarene_experiments\svr_rbf_c10_eps01_g03\azoarene_top_models_by_k.csv
svr_rbf_c30_eps005_scale,svr_rbf,lastblock_first,30.0,0.05,scale,,0.8146675671456416,0.4861912129707724,1.907201271292815,LOOCV,ar2_Ar_HOMO|rate kobs (s-1)|ar1_bond_length_c_e|ar2_Ar_Ster_B5|ar2_sterimol_B5,ln(kobs) = <nonlinear model; no closed-form linear equation>,485.88037,C:\Users\pecu6\OneDrive\桌面\Temp Doc\DFTDescriptorPipeline\results\azoarene_experiments\svr_rbf_c30_eps005_scale\azoarene_regression_report.json,C:\Users\pecu6\OneDrive\桌面\Temp Doc\DFTDescriptorPipeline\results\azoarene_experiments\svr_rbf_c30_eps005_scale\azoarene_top_models_by_k.csv
