category,target,k,features,R2,Q2,RMSE,CV,equation
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,ar2_Ar_polar|ar1_q_a|ar2_Ar_Ster_B5|ar1_nbo_q_a,0.6838611438953962,-0.10057898756876837,2.490919846664702,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,ar2_Ar_polar|ar1_q_a|ar2_Ar_Ster_B5|ar1_Ar_NBO_OH,0.6838611438953962,-0.10057898756876837,2.490919846664702,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,ar2_Ar_polar|ar1_q_a|ar2_sterimol_B5|ar1_nbo_q_a,0.6838611438953962,-0.10057898756876837,2.490919846664702,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,ar2_Ar_polar|ar1_q_a|ar2_sterimol_B5|ar1_Ar_NBO_OH,0.6838611438953962,-0.10057898756876837,2.490919846664702,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,ar2_isotropic_polarizability_au|ar1_q_a|ar2_Ar_Ster_B5|ar1_nbo_q_a,0.6838611438953962,-0.10057898756876837,2.490919846664702,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,ar2_isotropic_polarizability_au|ar1_q_a|ar2_Ar_Ster_B5|ar1_Ar_NBO_OH,0.6838611438953962,-0.10057898756876837,2.490919846664702,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,ar2_isotropic_polarizability_au|ar1_q_a|ar2_sterimol_B5|ar1_nbo_q_a,0.6838611438953962,-0.10057898756876837,2.490919846664702,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,ar2_isotropic_polarizability_au|ar1_q_a|ar2_sterimol_B5|ar1_Ar_NBO_OH,0.6838611438953962,-0.10057898756876837,2.490919846664702,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_Ar_HOMO|ar2_Ar_polar|ar1_bond_length_c_a|ar2_gap_hartree|ar1_q_a,0.797287519965241,-0.1011912926821914,1.9946240795958166,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_Ar_HOMO|ar2_isotropic_polarizability_au|ar1_bond_length_c_a|ar2_gap_hartree|ar1_q_a,0.797287519965241,-0.1011912926821914,1.9946240795958166,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_homo_hartree|ar2_Ar_polar|ar1_bond_length_c_a|ar2_gap_hartree|ar1_q_a,0.797287519965241,-0.1011912926821914,1.9946240795958166,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_homo_hartree|ar2_isotropic_polarizability_au|ar1_bond_length_c_a|ar2_gap_hartree|ar1_q_a,0.797287519965241,-0.1011912926821914,1.9946240795958166,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,rate kobs (s-1)|ar2_gap_hartree|ar1_q_a|ar1_bond_length_c_e,0.742388210378488,-0.10647475553118646,2.2485558623684683,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
